pop_size,generations,calls_of_f(x),average_max_fitness
6,1388.376,8330.256,23.567837310916467
12,1055.654,12667.848,23.805196762131388
18,827.15,14888.7,23.89780248396088
24,648.418,15562.032,23.936064988054056
30,524.18,15725.4,23.955106472629467
36,419.796,15112.656,23.962245627101026
42,306.828,12886.776,23.973175486212476
48,252.48,12119.04,23.977364771884698
54,159.74,8625.96,23.980514189469076
60,140.172,8410.32,23.980728689176235
66,108.254,7144.764,23.982051296630026
72,54.74,3941.28,23.98372589198667
78,70.064,5464.992,23.983698689345754
84,62.114,5217.576,23.984266938284687
90,54.628,4916.52,23.984305419670694
96,36.498,3503.808,23.98501400397789
102,25.938,2645.676,23.985285872330543
108,28.42,3069.36,23.985861986594692
114,21.746,2479.044,23.985343992213583
120,13.16,1579.2,23.984918714351203
126,7.032,886.032,23.985695628818405
132,11.734,1548.888,23.98589756759742
138,7.058,974.004,23.98623568722865
144,6.786,977.184,23.985347581476557
150,7.594,1139.1,23.985740819799744
156,4.054,632.424,23.985668311587567
162,8,1296,23.985581350630216
168,4.23,710.64,23.985850890322553
174,5.976,1039.824,23.985594650848515
180,3.666,659.88,23.986104192861212
186,7.87,1463.82,23.98644295428178
192,3.45,662.4,23.986250883793275
198,3.26,645.48,23.98602877519203
204,3.344,682.176,23.986095245635976
210,2.892,607.32,23.98586689407352
216,3.178,686.448,23.98614695780011
222,3.232,717.504,23.986052208662088
228,2.944,671.232,23.985847992206605
234,2.88,673.92,23.98647213590952
240,2.712,650.88,23.98668229490984
